"work_year","experience_level","employment_type","job_title","salary_in_usd","company_size"
2022,"SE","FT","Data Architect","266,400","M"
2022,"SE","FT","Data Architect","213,120","M"
2022,"SE","FT","Data Analyst","112,900","M"
2022,"SE","FT","Data Engineer","155,000","M"
2022,"MI","FT","Data Scientist","141,300","M"
2022,"MI","FT","Data Scientist","102,100","M"
2022,"SE","FT","Data Analyst","115,934","M"
2022,"SE","FT","Data Analyst"," 81,666","M"
2022,"MI","FT","Data Engineer","206,699","M"
2022,"MI","FT","Data Engineer"," 99,100","M"
2022,"SE","FT","Data Engineer","130,000","M"
2022,"SE","FT","Data Engineer","115,000","M"
2022,"SE","FT","Data Engineer","110,500","M"
2022,"SE","FT","Data Engineer","130,000","M"
2022,"SE","FT","Data Analyst"," 99,050","M"
2022,"SE","FT","Data Engineer","160,000","M"
2022,"SE","FT","Data Scientist","205,300","L"
2022,"SE","FT","Data Scientist","140,400","L"
2022,"SE","FT","Data Scientist","176,000","M"
2022,"SE","FT","Data Scientist","144,000","M"
2022,"SE","FT","Data Engineer","200,100","M"
2022,"SE","FT","Data Engineer","160,000","M"
2022,"SE","FT","Data Engineer","145,000","M"
2022,"SE","FT","Data Engineer"," 70,500","M"
2022,"SE","FT","Data Scientist","205,300","M"
2022,"SE","FT","Data Scientist","140,400","M"
2022,"SE","FT","Analytics Engineer","205,300","M"
2022,"SE","FT","Analytics Engineer","184,700","M"
2022,"SE","FT","Data Engineer","175,100","M"
2022,"SE","FT","Data Engineer","140,250","M"
2022,"SE","FT","Data Analyst","116,150","M"
2022,"SE","FT","Data Engineer"," 54,000","M"
2022,"SE","FT","Data Analyst","170,000","M"
2022,"MI","FT","Data Analyst"," 65,438","M"
2022,"SE","FT","Data Analyst"," 80,000","M"
2022,"SE","FT","Data Scientist","140,000","M"
2022,"SE","FT","Data Scientist","210,000","M"
2022,"SE","FT","Data Scientist","140,000","M"
2022,"SE","FT","Data Analyst","100,000","M"
2022,"SE","FT","Data Analyst"," 69,000","M"
2022,"SE","FT","Data Scientist","210,000","M"
2022,"SE","FT","Data Scientist","140,000","M"
2022,"SE","FT","Data Scientist","210,000","M"
2022,"SE","FT","Data Analyst","150,075","M"
2022,"SE","FT","Data Engineer","100,000","M"
2022,"SE","FT","Data Engineer"," 25,000","M"
2022,"SE","FT","Data Analyst","126,500","M"
2022,"SE","FT","Data Analyst","106,260","M"
2022,"SE","FT","Data Engineer","220,110","M"
2022,"SE","FT","Data Engineer","160,080","M"
2022,"SE","FT","Data Analyst","105,000","M"
2022,"SE","FT","Data Analyst","110,925","M"
2022,"MI","FT","Data Analyst"," 45,807","M"
2022,"SE","FT","Data Scientist","140,000","M"
2022,"SE","FT","Data Analyst"," 99,000","M"
2022,"SE","FT","Data Analyst"," 60,000","M"
2022,"SE","FT","Data Architect","192,564","M"
2022,"SE","FT","Data Architect","144,854","M"
2022,"SE","FT","Data Scientist","230,000","M"
2022,"SE","FT","Data Scientist","150,000","M"
2022,"SE","FT","Data Analytics Manager","150,260","M"
2022,"SE","FT","Data Analytics Manager","109,280","M"
2022,"SE","FT","Data Scientist","210,000","M"
2022,"SE","FT","Data Analyst","170,000","M"
2022,"MI","FT","Data Scientist","160,000","M"
2022,"MI","FT","Data Scientist","130,000","M"
2022,"EN","FT","Data Analyst"," 67,000","M"
2022,"EN","FT","Data Analyst"," 52,000","M"
2022,"SE","FT","Data Engineer","154,000","M"
2022,"SE","FT","Data Engineer","126,000","M"
2022,"SE","FT","Data Analyst","129,000","M"
2022,"SE","FT","Data Analyst","150,000","M"
2022,"MI","FT","AI Scientist","200,000","L"
